Date,Ball_6
06/20/2001,13
06/27/2001,4
07/04/2001,5
07/11/2001,3
07/18/2001,5
07/25/2001,10
08/01/2001,6
08/08/2001,11
08/15/2001,9
08/22/2001,7
08/29/2001,4
09/05/2001,4
09/12/2001,12
09/19/2001,4
09/26/2001,1
10/03/2001,10
10/10/2001,5
10/17/2001,6
10/24/2001,14
10/31/2001,11
11/07/2001,1
11/14/2001,3
11/21/2001,10
11/28/2001,2
12/05/2001,2
12/12/2001,11
12/19/2001,9
12/26/2001,3
01/02/2002,2
01/09/2002,14
01/16/2002,5
01/23/2002,6
01/30/2002,5
02/06/2002,12
02/13/2002,3
02/20/2002,14
02/27/2002,4
03/06/2002,3
03/13/2002,12
03/20/2002,5
03/27/2002,10
04/03/2002,8
04/10/2002,9
04/17/2002,7
04/24/2002,7
05/01/2002,14
05/08/2002,10
05/15/2002,13
05/22/2002,10
05/29/2002,3
06/05/2002,4
06/12/2002,10
06/19/2002,9
06/26/2002,8
07/03/2002,12
07/10/2002,7
07/17/2002,8
07/24/2002,1
07/31/2002,12
08/07/2002,8
08/14/2002,10
08/21/2002,6
08/28/2002,4
09/04/2002,11
09/11/2002,5
09/18/2002,2
09/25/2002,2
10/02/2002,5
10/09/2002,14
10/16/2002,10
10/23/2002,12
10/30/2002,13
11/06/2002,10
11/13/2002,5
11/20/2002,12
11/27/2002,14
12/04/2002,6
12/11/2002,1
12/18/2002,7
12/25/2002,8
01/01/2003,11
01/08/2003,4
01/15/2003,11
01/22/2003,7
01/29/2003,12
02/05/2003,6
02/12/2003,13
02/19/2003,4
02/26/2003,5
03/05/2003,5
03/12/2003,8
03/19/2003,4
03/26/2003,8
04/02/2003,8
04/09/2003,8
04/16/2003,10
04/23/2003,5
04/30/2003,10
05/07/2003,1
05/14/2003,7
05/21/2003,2
05/28/2003,11
06/04/2003,5
06/11/2003,14
06/18/2003,7
06/25/2003,14
07/02/2003,3
07/09/2003,11
07/16/2003,6
07/23/2003,2
07/30/2003,1
08/06/2003,5
08/13/2003,10
08/20/2003,10
08/27/2003,1
09/03/2003,2
09/10/2003,10
09/17/2003,11
09/24/2003,1
10/01/2003,11
10/08/2003,10
10/15/2003,1
10/22/2003,7
10/29/2003,8
11/05/2003,8
11/12/2003,11
11/19/2003,2
