Date;Ball_1;Ball_2;Ball_3;Ball_4;Ball_5
06/20/2001;4;5;6;10;16
06/27/2001;15;18;22;25;29
07/04/2001;10;12;22;24;32
07/11/2001;8;16;24;27;31
07/18/2001;8;16;17;20;34
07/25/2001;8;10;13;14;15
08/01/2001;1;8;9;14;15
08/08/2001;12;20;32;33;34
08/15/2001;2;9;15;27;31
08/22/2001;4;6;9;29;31
08/29/2001;9;20;25;32;33
09/05/2001;1;11;19;26;29
09/12/2001;6;8;15;20;33
09/19/2001;4;8;11;13;14
09/26/2001;16;24;27;29;31
10/03/2001;2;12;27;29;30
10/10/2001;2;3;5;9;28
10/17/2001;1;4;30;31;32
10/24/2001;5;14;16;26;29
10/31/2001;5;10;18;29;34
11/07/2001;3;7;18;20;29
11/14/2001;4;5;22;29;34
11/21/2001;8;9;12;18;24
11/28/2001;21;23;28;29;33
12/05/2001;1;11;14;22;29
12/12/2001;1;6;15;26;29
12/19/2001;12;15;16;21;32
12/26/2001;12;20;23;25;32
01/02/2002;3;6;7;14;16
01/09/2002;1;5;13;24;27
01/16/2002;1;9;12;19;29
01/23/2002;2;10;17;29;32
01/30/2002;5;6;13;16;29
02/06/2002;6;11;19;22;25
02/13/2002;3;4;20;21;28
02/20/2002;6;7;9;18;21
02/27/2002;15;18;26;27;34
03/06/2002;5;6;10;11;30
03/13/2002;7;10;15;17;19
03/20/2002;14;16;26;29;30
03/27/2002;3;5;17;20;25
04/03/2002;7;9;13;17;31
04/10/2002;2;10;12;28;29
04/17/2002;2;7;14;23;24
04/24/2002;3;12;24;26;34
05/01/2002;2;8;13;20;33
05/08/2002;1;9;15;17;28
05/15/2002;1;4;15;25;31
05/22/2002;25;26;28;33;34
05/29/2002;5;19;20;29;30
06/05/2002;5;8;9;29;30
06/12/2002;1;12;16;24;28
06/19/2002;1;5;10;24;29
06/26/2002;7;9;10;19;22
07/03/2002;2;4;24;26;33
07/10/2002;1;10;19;32;34
07/17/2002;6;11;16;29;34
07/24/2002;11;12;13;15;22
07/31/2002;6;13;14;16;32
08/07/2002;5;18;23;26;34
08/14/2002;14;21;22;25;27
08/21/2002;5;17;21;26;34
08/28/2002;11;17;20;23;28
09/04/2002;10;12;17;27;30
09/11/2002;11;19;22;27;29
09/18/2002;2;4;7;14;16
09/25/2002;7;20;29;30;31
10/02/2002;3;5;16;26;27
10/09/2002;4;7;16;19;29
10/16/2002;2;10;11;29;31
10/23/2002;1;3;15;18;28
10/30/2002;9;19;30;32;33
11/06/2002;5;17;23;25;30
11/13/2002;5;7;9;12;18
11/20/2002;2;18;26;28;34
11/27/2002;5;8;18;23;33
12/04/2002;7;12;15;31;34
12/11/2002;13;23;26;27;34
12/18/2002;2;5;6;11;34
12/25/2002;9;15;16;31;32
01/01/2003;2;3;11;20;24
01/08/2003;4;7;8;22;24
01/15/2003;5;17;18;23;29
01/22/2003;2;3;16;23;32
01/29/2003;10;14;16;17;23
02/05/2003;4;10;25;27;30
02/12/2003;9;17;20;22;30
02/19/2003;1;15;20;22;29
02/26/2003;5;15;16;17;26
03/05/2003;3;5;8;15;26
03/12/2003;1;3;13;24;34
03/19/2003;1;4;19;25;32
03/26/2003;11;13;14;17;25
04/02/2003;12;13;15;19;27
04/09/2003;8;10;14;27;33
04/16/2003;2;4;18;25;28
04/23/2003;13;16;20;22;27
04/30/2003;8;10;13;14;31
05/07/2003;7;14;20;22;26
05/14/2003;8;9;10;15;18
05/21/2003;4;14;15;16;23
05/28/2003;4;7;26;33;34
06/04/2003;14;15;18;19;34
06/11/2003;14;15;23;24;34
06/18/2003;1;4;17;18;24
06/25/2003;7;11;12;25;31
07/02/2003;3;9;11;15;25
07/09/2003;6;17;24;27;34
07/16/2003;11;16;21;22;33
07/23/2003;1;4;13;23;25
07/30/2003;2;6;15;20;27
08/06/2003;3;10;13;22;28
08/13/2003;2;9;18;25;33
08/20/2003;3;6;14;25;29
08/27/2003;8;11;14;24;28
09/03/2003;2;17;19;20;30
09/10/2003;8;9;11;17;34
09/17/2003;6;8;22;24;32
09/24/2003;4;7;11;17;28
10/01/2003;6;10;12;17;25
10/08/2003;4;8;11;12;33
10/15/2003;3;5;6;11;31
10/22/2003;5;6;17;26;30
10/29/2003;2;7;27;32;34
11/05/2003;1;8;9;14;21
11/12/2003;6;8;17;19;25
11/19/2003;6;9;12;21;28
11/26/2003;4;7;10;11;29
12/03/2003;19;20;21;25;26
12/10/2003;5;8;15;21;31
12/17/2003;2;6;11;12;18
12/24/2003;15;18;21;32;33
12/31/2003;2;5;16;23;33
01/07/2004;5;21;23;24;32
01/14/2004;20;23;25;27;33
01/21/2004;5;13;17;21;28
01/28/2004;5;15;16;17;25
02/04/2004;4;11;15;22;24
02/11/2004;1;2;13;17;21
02/18/2004;5;9;10;20;29
02/25/2004;7;10;23;26;27
03/03/2004;7;12;17;25;30
03/10/2004;14;20;29;30;31
03/17/2004;4;13;15;20;21
03/24/2004;10;11;18;22;28
03/31/2004;2;15;22;24;25
04/07/2004;5;6;18;26;29
04/14/2004;2;9;12;26;31
04/21/2004;12;16;17;22;29
04/28/2004;2;3;23;25;31
05/05/2004;4;13;25;27;29
05/12/2004;9;15;20;23;27
05/19/2004;1;5;13;14;34
05/26/2004;2;9;12;18;27
06/02/2004;4;10;22;25;28
06/09/2004;9;19;26;30;32
06/16/2004;1;2;17;26;28
06/23/2004;15;20;24;29;33
06/30/2004;2;19;28;30;31
07/07/2004;4;9;12;20;28
07/14/2004;2;4;7;21;22
07/21/2004;7;11;18;24;25
07/28/2004;5;14;16;19;28
08/04/2004;4;6;14;29;32
08/11/2004;7;9;10;18;20
08/18/2004;14;17;21;25;33
08/25/2004;6;14;25;29;30
09/01/2004;5;10;18;21;23
09/08/2004;8;12;18;29;30
09/15/2004;2;21;22;23;33
09/22/2004;6;8;9;14;32
09/29/2004;12;20;21;26;27
10/06/2004;9;18;20;22;24
10/13/2004;4;6;7;13;16
10/20/2004;16;20;28;30;31
10/27/2004;2;7;8;11;17
11/03/2004;2;9;16;29;32
11/10/2004;14;16;20;25;30
11/17/2004;6;9;14;20;23
11/24/2004;2;11;20;23;24
12/01/2004;1;14;17;27;28
12/08/2004;12;13;22;28;30
12/15/2004;12;13;15;18;34
12/22/2004;11;21;22;30;34
12/29/2004;1;5;25;26;30
01/05/2005;2;13;14;18;33
01/12/2005;5;7;17;25;29
01/19/2005;8;18;22;24;29
01/26/2005;10;13;26;27;29
02/02/2005;8;9;19;32;34
02/09/2005;21;22;26;30;33
02/16/2005;13;15;20;22;34
02/23/2005;14;16;19;28;32
03/02/2005;1;19;20;21;28
03/09/2005;1;2;5;21;22
03/16/2005;1;4;10;23;33
03/23/2005;4;13;15;24;33
03/30/2005;4;12;17;27;34
04/06/2005;1;2;19;26;31
04/13/2005;15;18;23;24;28
04/20/2005;5;6;8;18;31
04/27/2005;2;9;18;24;32
05/04/2005;2;14;15;31;34
05/11/2005;6;15;19;23;24
05/18/2005;9;11;15;20;24
05/25/2005;3;24;25;29;31
06/01/2005;11;15;17;19;34
06/08/2005;1;12;14;15;34
06/15/2005;15;20;26;27;28
06/22/2005;13;14;16;23;27
06/29/2005;7;16;17;22;27
07/06/2005;21;25;32;33;34
07/13/2005;8;22;24;32;34
07/20/2005;3;10;12;15;21
07/27/2005;8;14;21;28;30
08/03/2005;11;13;18;27;33
08/10/2005;4;15;22;26;34
08/17/2005;7;21;27;30;32
08/24/2005;4;6;16;21;30
08/31/2005;6;7;12;20;33
09/07/2005;6;20;22;23;28
09/14/2005;11;15;26;30;32
09/21/2005;2;8;9;18;22
09/28/2005;1;3;4;21;23
10/05/2005;3;15;23;31;32
10/12/2005;6;8;12;13;22
10/19/2005;5;20;22;24;25
10/26/2005;3;4;6;19;32
11/02/2005;6;13;18;24;28
11/09/2005;7;10;18;26;28
11/16/2005;10;12;13;31;32
11/23/2005;7;10;12;19;32
11/30/2005;1;4;11;12;25
12/07/2005;3;9;15;19;21
12/14/2005;3;6;18;21;29
12/21/2005;13;16;20;31;32
12/28/2005;4;17;26;27;31
01/04/2006;10;13;22;30;34
01/11/2006;2;8;22;29;30
01/18/2006;2;5;16;17;34
01/25/2006;1;4;6;21;24
02/01/2006;12;16;19;23;29
02/08/2006;4;5;8;22;26
02/15/2006;5;9;11;16;19
02/22/2006;7;18;21;27;33
03/01/2006;1;6;11;24;31
03/08/2006;10;15;17;30;34
03/15/2006;10;23;24;28;34
03/22/2006;3;4;6;13;19
03/29/2006;12;18;23;30;34
04/05/2006;17;24;25;26;30
04/12/2006;5;8;10;19;29
04/19/2006;2;24;25;29;31
04/26/2006;6;10;11;14;16
05/03/2006;5;7;19;25;34
05/10/2006;1;4;6;11;26
05/17/2006;19;22;23;25;33
05/24/2006;3;17;23;26;30
05/31/2006;4;7;17;19;25
06/07/2006;5;22;24;29;32
06/14/2006;5;10;19;21;25
06/21/2006;4;14;23;26;31
06/28/2006;4;17;19;21;25
07/05/2006;15;22;25;32;34
07/12/2006;9;12;13;18;25
07/19/2006;1;2;6;23;27
07/26/2006;4;12;19;21;29
08/02/2006;2;3;15;21;31
08/09/2006;4;6;11;12;34
08/16/2006;3;5;10;14;20
08/23/2006;5;7;11;15;23
08/30/2006;3;4;12;28;30
09/06/2006;1;7;10;13;34
09/13/2006;5;22;23;26;27
09/20/2006;6;18;20;24;28
09/27/2006;2;4;13;19;34
10/04/2006;3;17;22;25;34
10/11/2006;1;5;8;10;28
10/18/2006;1;26;27;30;31
10/25/2006;1;8;21;26;32
11/01/2006;4;7;14;16;32
11/08/2006;4;7;21;32;33
11/15/2006;1;2;4;18;24
11/22/2006;1;3;9;11;17
11/29/2006;4;14;23;27;28
12/06/2006;1;2;7;14;27
12/13/2006;1;7;17;31;32
12/20/2006;7;10;23;26;28
12/27/2006;2;6;10;21;28
01/03/2007;4;10;12;29;33
01/10/2007;8;14;21;23;25
01/17/2007;3;12;18;28;33
01/24/2007;1;8;14;22;26
01/31/2007;4;13;21;29;34
02/07/2007;4;12;22;23;27
02/14/2007;2;15;17;20;30
02/21/2007;11;15;22;28;32
02/28/2007;3;9;15;27;31
03/07/2007;8;9;24;26;28
03/14/2007;14;20;23;24;27
03/21/2007;2;6;22;27;32
03/28/2007;18;19;23;24;27
04/04/2007;8;9;17;18;19
04/11/2007;2;5;25;26;34
04/18/2007;1;9;16;21;28
04/25/2007;8;13;15;24;29
05/02/2007;15;20;23;26;34
05/09/2007;11;14;15;29;31
05/16/2007;4;10;29;31;33
05/23/2007;5;6;16;22;24
05/30/2007;12;15;18;21;29
06/06/2007;10;11;14;18;30
06/13/2007;12;16;19;24;25
06/20/2007;2;3;17;20;27
06/27/2007;2;8;13;18;32
07/04/2007;6;9;10;15;19
07/11/2007;3;10;19;20;23
07/18/2007;11;16;18;22;27
07/25/2007;8;10;23;26;29
08/01/2007;9;14;15;26;30
08/08/2007;10;15;16;24;32
08/15/2007;3;10;12;19;23
08/22/2007;3;15;18;22;28
08/29/2007;9;13;30;31;32
09/05/2007;18;23;24;26;27
09/12/2007;5;14;17;19;27
09/19/2007;2;9;26;28;31
09/26/2007;6;11;14;21;25
10/03/2007;7;17;19;24;28
10/10/2007;4;9;17;26;33
10/17/2007;4;15;19;22;26
10/24/2007;8;13;16;17;28
10/31/2007;11;20;22;23;32
11/07/2007;2;7;9;10;33
11/14/2007;4;9;16;24;29
11/21/2007;1;4;7;17;31
11/28/2007;10;11;20;22;27
12/05/2007;5;9;16;19;32
12/12/2007;9;12;16;23;30
12/19/2007;3;7;15;28;32
12/26/2007;4;11;15;18;27
01/02/2008;1;13;17;21;23
01/09/2008;9;10;11;32;33
01/16/2008;2;7;10;12;25
01/23/2008;3;6;15;17;32
01/30/2008;2;10;11;17;20
02/06/2008;1;2;6;15;31
02/13/2008;1;8;16;30;34
02/20/2008;5;10;25;29;33
02/27/2008;3;6;24;26;33
03/05/2008;9;10;12;17;26
03/12/2008;4;6;16;22;29
03/19/2008;15;18;26;30;34
03/26/2008;1;6;21;22;34
04/02/2008;1;13;19;22;33
04/09/2008;9;11;15;17;23
04/16/2008;3;7;13;26;28
04/23/2008;2;8;20;21;30
04/30/2008;2;8;20;23;29
05/07/2008;3;8;9;11;22
05/14/2008;2;11;29;31;34
05/21/2008;1;11;18;28;33
05/28/2008;2;11;16;19;22
06/04/2008;16;18;19;26;33
06/11/2008;4;6;10;16;20
06/18/2008;22;23;31;32;34
06/25/2008;13;15;20;23;24
07/02/2008;2;7;19;22;31
07/09/2008;1;14;23;30;34
07/16/2008;22;23;24;25;28
07/23/2008;11;21;24;32;34
07/30/2008;6;7;8;18;27
08/06/2008;4;5;6;18;29
08/13/2008;5;6;10;17;20
08/20/2008;4;7;9;27;34
08/27/2008;16;22;27;33;34
09/03/2008;1;20;23;29;31
09/10/2008;2;3;8;22;27
09/17/2008;4;5;9;11;18
09/24/2008;17;23;25;28;33
10/01/2008;6;9;10;14;25
10/08/2008;8;10;18;23;33
10/15/2008;6;7;9;15;33
10/22/2008;5;16;24;27;28
10/29/2008;6;7;8;16;19
11/05/2008;7;14;19;20;34
11/12/2008;1;3;12;20;22
11/19/2008;3;6;13;23;34
11/26/2008;2;3;10;22;32
12/03/2008;1;8;10;20;23
12/10/2008;11;14;15;19;23
12/17/2008;14;18;28;30;32
12/24/2008;1;3;19;30;31
12/31/2008;1;2;11;12;31
01/07/2009;2;12;24;25;32
01/14/2009;13;26;28;29;31
01/21/2009;1;8;15;19;31
01/28/2009;2;12;28;33;34
02/04/2009;10;19;22;26;34
02/11/2009;6;12;13;23;29
02/18/2009;4;6;11;22;34
02/25/2009;5;6;9;15;23
03/04/2009;9;12;21;24;33
