Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Ball_Joker
08/03/2020,4,34,39,42,47,61,72
08/05/2020,46,56,59,65,83,84,48
08/08/2020,11,31,33,44,68,78,14
08/10/2020,1,4,17,19,51,63,6
08/12/2020,10,39,67,80,82,87,2
08/15/2020,7,52,74,79,83,85,30
08/17/2020,5,18,25,44,55,82,49
08/19/2020,32,33,34,47,82,89,86
08/22/2020,1,8,18,51,55,70,36
08/24/2020,11,27,38,45,58,88,33
08/26/2020,13,27,38,58,59,67,45
08/29/2020,1,18,19,85,87,89,13
08/31/2020,2,11,15,30,35,53,67
09/02/2020,11,12,21,27,73,88,86
09/05/2020,18,54,61,70,75,85,87
09/07/2020,30,35,57,71,73,77,24
09/09/2020,1,21,29,41,44,72,86
09/12/2020,6,52,54,71,74,90,48
09/14/2020,1,48,54,65,72,82,23
09/16/2020,19,25,35,47,57,85,55
09/19/2020,19,44,45,61,71,87,83
09/21/2020,3,37,53,65,74,75,35
09/23/2020,5,6,14,21,31,90,11
09/26/2020,9,14,41,44,49,80,38
09/30/2020,8,25,28,35,43,59,77
10/03/2020,5,23,24,54,83,87,52
10/05/2020,18,44,46,48,56,79,39
10/10/2020,37,42,43,62,77,87,59
10/12/2020,18,22,50,52,67,73,27
10/14/2020,14,26,28,62,74,84,21
10/17/2020,25,35,36,50,79,82,83
10/19/2020,29,45,52,81,82,86,26
10/21/2020,13,22,37,43,66,87,65
10/24/2020,1,13,15,27,59,75,28
10/26/2020,44,71,74,76,83,87,37
10/28/2020,18,23,44,52,59,72,74
10/31/2020,15,16,19,74,75,81,20
11/02/2020,5,20,22,49,55,73,74
11/04/2020,7,8,39,55,61,72,60
11/07/2020,16,43,64,73,85,88,24
11/09/2020,5,11,32,69,70,77,28
11/11/2020,12,20,38,72,74,87,14
11/14/2020,1,6,14,15,30,72,22
11/16/2020,29,33,39,49,56,89,19
11/18/2020,8,22,50,55,71,87,18
11/21/2020,17,46,61,66,78,83,9
11/23/2020,8,22,42,52,55,71,49
11/25/2020,39,42,46,53,78,87,90
11/28/2020,3,21,31,42,65,80,18
11/30/2020,7,8,22,48,57,87,32
12/02/2020,29,32,36,46,72,77,45
12/05/2020,5,20,22,27,70,76,79
12/07/2020,21,39,57,58,74,81,63
12/09/2020,9,13,27,53,62,90,24
12/12/2020,12,23,28,31,43,60,7
12/14/2020,3,6,32,60,74,76,68
12/16/2020,13,49,62,69,79,89,56
12/19/2020,14,27,63,65,71,77,38
12/21/2020,4,5,56,63,66,75,71
12/23/2020,12,27,42,52,72,89,33
12/26/2020,18,33,38,42,56,79,89
12/28/2020,28,44,46,68,74,82,29
12/30/2020,1,31,45,53,58,72,23
01/02/2021,3,7,9,22,27,70,20
01/04/2021,6,7,41,63,81,83,18
01/06/2021,1,32,60,62,63,74,20
01/09/2021,8,32,33,62,82,83,43
01/11/2021,6,20,32,54,73,88,11
01/13/2021,18,28,41,57,71,88,58
01/16/2021,43,71,73,75,86,88,79
01/18/2021,23,29,43,68,88,90,85
01/20/2021,19,24,39,61,63,73,6
01/23/2021,4,5,18,37,41,60,40
01/25/2021,15,18,61,70,74,90,29
01/27/2021,20,62,64,71,73,78,18
01/30/2021,4,12,21,29,42,90,51
02/01/2021,15,51,55,60,62,90,11
02/03/2021,5,41,45,52,65,89,20
02/06/2021,24,32,33,34,45,61,81
02/08/2021,1,5,13,33,40,52,12
02/10/2021,21,24,31,38,46,71,10
02/13/2021,3,20,24,47,63,69,32
02/15/2021,8,11,16,47,64,87,15
02/17/2021,10,12,57,75,80,83,25
02/20/2021,11,26,33,63,69,83,45
02/22/2021,23,35,59,64,75,81,66
02/24/2021,9,26,30,43,54,73,63
02/27/2021,2,14,29,30,69,80,53
03/01/2021,5,30,46,60,69,84,1
03/03/2021,2,11,13,34,47,74,84
03/06/2021,8,12,20,31,45,87,62
03/08/2021,22,38,45,47,70,87,24
03/10/2021,4,23,30,49,53,87,22
03/13/2021,11,19,25,32,54,71,61
03/15/2021,23,27,37,56,79,83,71
03/17/2021,7,13,15,69,78,79,10
03/20/2021,6,22,28,50,72,90,74
03/22/2021,9,12,39,64,70,89,40
03/24/2021,3,4,11,22,37,88,43
03/27/2021,3,11,21,28,62,83,7
03/29/2021,5,21,41,51,56,66,23
03/31/2021,1,3,59,83,84,88,37
04/03/2021,8,34,39,65,72,73,11
04/05/2021,19,35,39,62,64,86,90
04/07/2021,13,53,64,69,78,80,42
04/10/2021,5,21,30,43,45,60,39
04/12/2021,18,48,66,72,88,90,5
04/14/2021,2,4,21,37,63,73,81
04/17/2021,27,39,56,73,83,84,23
04/19/2021,12,23,56,79,82,86,5
04/21/2021,13,33,58,74,78,89,46
04/24/2021,6,19,29,51,62,81,30
04/26/2021,3,34,42,52,66,70,28
04/28/2021,1,15,32,50,55,69,17
05/01/2021,14,15,17,54,68,82,88
05/03/2021,3,12,60,65,67,85,49
05/05/2021,1,3,21,58,70,82,5
05/08/2021,1,15,43,62,64,85,57
05/10/2021,7,19,49,55,61,89,53
05/12/2021,13,43,45,70,76,86,7
05/15/2021,17,29,52,74,77,85,9
05/17/2021,21,46,48,62,89,90,6
05/19/2021,10,11,24,53,71,90,77
05/22/2021,1,11,56,59,80,81,40
05/24/2021,7,16,59,69,78,89,8
05/26/2021,47,48,49,52,58,85,15
05/29/2021,7,17,39,44,55,67,63
05/31/2021,6,21,32,58,88,90,82
06/02/2021,16,43,46,48,60,72,80
06/05/2021,2,7,30,32,67,73,34
06/07/2021,24,52,60,62,87,89,32
