Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6
2.08.2020,9,16,18,44,47,51
4.08.2020,17,19,32,37,41,54
6.08.2020,9,20,21,25,38,53
8.08.2020,23,27,30,36,49,54
9.08.2020,4,6,14,22,38,58
11.08.2020,1,9,14,40,48,58
13.08.2020,13,26,29,33,35,50
16.08.2020,2,6,17,37,50,53
18.08.2020,10,15,17,24,26,32
20.08.2020,1,16,21,25,27,33
23.08.2020,13,16,35,37,54,56
25.08.2020,3,5,6,10,48,60
27.08.2020,6,10,31,43,52,59
30.08.2020,5,8,19,20,23,43
1.09.2020,21,22,28,32,47,50
3.09.2020,5,8,10,11,24,31
6.09.2020,12,16,28,31,37,43
10.09.2020,6,17,26,27,40,48
13.09.2020,5,11,26,40,51,53
15.09.2020,7,8,24,33,45,46
17.09.2020,7,19,37,45,48,53
20.09.2020,3,4,7,10,44,47
22.09.2020,3,8,33,37,38,44
24.09.2020,3,14,20,21,40,55
27.09.2020,5,7,8,35,37,44
29.09.2020,1,14,20,31,46,50
1.10.2020,4,10,33,39,51,54
4.10.2020,16,23,29,40,46,51
6.10.2020,1,4,20,21,25,29
8.10.2020,1,10,21,25,42,48
11.10.2020,11,29,38,39,41,57
13.10.2020,11,16,22,31,37,52
15.10.2020,1,30,31,42,47,59
18.10.2020,1,13,18,23,36,53
20.10.2020,6,16,30,36,46,58
22.10.2020,2,4,15,28,36,52
25.10.2020,1,30,38,42,47,52
27.10.2020,21,26,31,35,50,58
29.10.2020,14,33,40,48,49,60
1.11.2020,23,29,37,38,42,43
3.11.2020,10,11,12,21,25,49
5.11.2020,10,23,39,40,54,56
8.11.2020,3,19,39,41,47,53
10.11.2020,10,14,20,35,48,60
12.11.2020,2,20,41,42,58,60
15.11.2020,2,7,14,21,25,42
16.11.2020,10,11,35,46,49,56
17.11.2020,5,18,24,28,42,51
19.11.2020,6,10,29,53,54,55
22.11.2020,6,15,22,24,37,44
24.11.2020,13,16,36,38,43,48
29.11.2020,3,7,36,49,50,52
1.12.2020,13,20,33,41,42,57
3.12.2020,2,12,19,29,42,60
6.12.2020,19,26,27,31,32,39
